drugId,drugName,drugType
CHEMBL110739,CORTICOSTERONE,Small molecule
CHEMBL1195,PROPOXYCAINE,Small molecule
CHEMBL1200632,CLINDAMYCIN PALMITATE HYDROCHLORIDE,Small molecule
CHEMBL1200691,MAGNESIUM ACETATE,Small molecule
CHEMBL121790,CHEMBL121790,Small molecule
CHEMBL1231,OXYBUTYNIN,Small molecule
CHEMBL1231592,CHEMBL1231592,Small molecule
CHEMBL1232182,"2,3-Difluorobenzyl Alcohol",Small molecule
CHEMBL1233511,PHYTIC ACID,Small molecule
CHEMBL1234904,CHEMBL1234904,Small molecule
CHEMBL136560,"(1R,2S)-PHENYLPROPANOLAMINE",Small molecule
CHEMBL1373467,CHEMBL1373467,Small molecule
CHEMBL1443272,CHEMBL1443272,Small molecule
CHEMBL148169,IK-682,Small molecule
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule
CHEMBL165315,CHEMBL165315,Small molecule
CHEMBL1673303,(S)-ICLAPRIM,Small molecule
CHEMBL169526,CHEMBL169526,Small molecule
CHEMBL1743017,FEZAKINUMAB,Antibody
CHEMBL182323,CHEMBL182323,Small molecule
CHEMBL185885,AES-103,Small molecule
CHEMBL1888305,CHEMBL1888305,Small molecule
CHEMBL1923234,WP 1066,Small molecule
CHEMBL1949708,RELMAPIRAZIN,Small molecule
CHEMBL1957857,CHEMBL1957857,Small molecule
CHEMBL2104927,FIGOPITANT,Small molecule
CHEMBL2105675,TAFAMIDIS MEGLUMINE,Small molecule
CHEMBL2106966,PIKETOPROFEN,Small molecule
CHEMBL2107826,VIBEGRON,Small molecule
CHEMBL2107840,PATIROMER CALCIUM,Small molecule
CHEMBL2109177,ODULIMOMAB,Antibody
CHEMBL2109673,PTI-6D2 188RE,Unknown
CHEMBL2153644,CHEMBL2153644,Small molecule
CHEMBL2159741,CHEMBL2159741,Small molecule
CHEMBL2346976,AZD3514,Small molecule
CHEMBL2381968,CHEMBL2381968,Small molecule
CHEMBL2430537,CHEMBL2430537,Small molecule
CHEMBL24781,L-371257,Small molecule
CHEMBL257468,CHEMBL257468,Small molecule
CHEMBL279115,PHORBOL MYRISTATE ACETATE,Small molecule
CHEMBL295301,CHEMBL295301,Small molecule
CHEMBL298445,CHEMBL298445,Small molecule
CHEMBL3181832,METHICILLIN SODIUM,Small molecule
CHEMBL338790,CHEMBL338790,Small molecule
CHEMBL340606,CHEMBL340606,Small molecule
CHEMBL350239,CHEMBL350239,Small molecule
CHEMBL353861,AL-6619,Small molecule
CHEMBL3545025,INSM-18,Small molecule
CHEMBL3545096,BGT-226,Small molecule
CHEMBL3545103,AZD3199,Small molecule
CHEMBL3545145,WX-554,Small molecule
CHEMBL3545238,CS-8080,Small molecule
CHEMBL3545312,RAVIDASVIR HYDROCHLORIDE,Small molecule
CHEMBL3545340,R-343,Small molecule
CHEMBL363648,TAK-715,Small molecule
