drugId,drugName,drugType,targetId,targetLocation,targetLocationName,targetLocationCluster
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,ENSG00000101868,SL-0191,Nucleus,Nucleus
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,ENSG00000101868,SL-0086,Cytoplasm,Cytoplasm
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,ENSG00000175482,SL-0191,Nucleus,Nucleus
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,ENSG00000077514,SL-0191,Nucleus,Nucleus
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,ENSG00000077514,SL-0086,Cytoplasm,Cytoplasm
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,ENSG00000062822,SL-0191,Nucleus,Nucleus
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,ENSG00000106628,SL-0191,Nucleus,Nucleus
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,ENSG00000177084,SL-0191,Nucleus,Nucleus
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,ENSG00000014138,SL-0191,Nucleus,Nucleus
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,ENSG00000100479,SL-0191,Nucleus,Nucleus
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,ENSG00000148229,SL-0191,Nucleus,Nucleus
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,ENSG00000167325,SL-0086,Cytoplasm,Cytoplasm
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,ENSG00000048392,SL-0191,Nucleus,Nucleus
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,ENSG00000048392,SL-0086,Cytoplasm,Cytoplasm
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,ENSG00000171848,SL-0191,Nucleus,Nucleus
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,ENSG00000171848,SL-0086,Cytoplasm,Cytoplasm
CHEMBL1743017,FEZAKINUMAB,Antibody,ENSG00000127318,SL-0243,Secreted,Secreted
CHEMBL2104927,FIGOPITANT,Small molecule,ENSG00000115353,SL-0039,Cell membrane,Surface
CHEMBL2105675,TAFAMIDIS MEGLUMINE,Small molecule,ENSG00000118271,SL-0086,Cytoplasm,Cytoplasm
CHEMBL2105675,TAFAMIDIS MEGLUMINE,Small molecule,ENSG00000118271,SL-0243,Secreted,Secreted
CHEMBL2107826,VIBEGRON,Small molecule,ENSG00000188778,SL-0039,Cell membrane,Surface
CHEMBL2109177,ODULIMOMAB,Antibody,ENSG00000005844,SL-0039,Cell membrane,Surface
CHEMBL2346976,AZD3514,Small molecule,ENSG00000169083,SL-0191,Nucleus,Nucleus
CHEMBL2346976,AZD3514,Small molecule,ENSG00000169083,SL-0086,Cytoplasm,Cytoplasm
CHEMBL3545025,INSM-18,Small molecule,ENSG00000141736,SL-0280,Cell projection,Cytoplasm
CHEMBL3545025,INSM-18,Small molecule,ENSG00000141736,SL-0039,Cell membrane,Surface
CHEMBL3545025,INSM-18,Small molecule,ENSG00000141736,SL-0094,Early endosome,Cytoplasm
CHEMBL3545025,INSM-18,Small molecule,ENSG00000141736,SL-0086,Cytoplasm,Cytoplasm
CHEMBL3545025,INSM-18,Small molecule,ENSG00000141736,SL-0191,Nucleus,Nucleus
CHEMBL3545025,INSM-18,Small molecule,ENSG00000140443,SL-0039,Cell membrane,Surface
CHEMBL3545096,BGT-226,Small molecule,ENSG00000198793,SL-0165,Microsome membrane,Cytoplasm
CHEMBL3545096,BGT-226,Small molecule,ENSG00000198793,SL-0086,Cytoplasm,Cytoplasm
CHEMBL3545096,BGT-226,Small molecule,ENSG00000198793,SL-0134,Golgi apparatus membrane,Cytoplasm
CHEMBL3545096,BGT-226,Small molecule,ENSG00000198793,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
CHEMBL3545096,BGT-226,Small molecule,ENSG00000198793,SL-0088,Cytoplasmic vesicle,Cytoplasm
CHEMBL3545096,BGT-226,Small molecule,ENSG00000198793,SL-0172,Mitochondrion outer membrane,Cytoplasm
CHEMBL3545096,BGT-226,Small molecule,ENSG00000198793,SL-0157,Lysosome membrane,Cytoplasm
CHEMBL3545096,BGT-226,Small molecule,ENSG00000198793,SL-0191,Nucleus,Nucleus
CHEMBL3545096,BGT-226,Small molecule,ENSG00000051382,SL-0191,Nucleus,Nucleus
CHEMBL3545096,BGT-226,Small molecule,ENSG00000051382,SL-0086,Cytoplasm,Cytoplasm
CHEMBL3545096,BGT-226,Small molecule,ENSG00000105851,SL-0086,Cytoplasm,Cytoplasm
CHEMBL3545096,BGT-226,Small molecule,ENSG00000105851,SL-0039,Cell membrane,Surface
CHEMBL3545096,BGT-226,Small molecule,ENSG00000171608,SL-0086,Cytoplasm,Cytoplasm
CHEMBL3545096,BGT-226,Small molecule,ENSG00000141506,SL-0191,Nucleus,Nucleus
CHEMBL3545096,BGT-226,Small molecule,ENSG00000141506,SL-0086,Cytoplasm,Cytoplasm
CHEMBL3545096,BGT-226,Small molecule,ENSG00000141506,SL-0039,Cell membrane,Surface
CHEMBL3545103,AZD3199,Small molecule,ENSG00000169252,SL-0094,Early endosome,Cytoplasm
CHEMBL3545103,AZD3199,Small molecule,ENSG00000169252,SL-0039,Cell membrane,Surface
CHEMBL3545103,AZD3199,Small molecule,ENSG00000169252,SL-0132,Golgi apparatus,Cytoplasm
CHEMBL3545145,WX-554,Small molecule,ENSG00000169032,SL-0191,Nucleus,Nucleus
CHEMBL3545145,WX-554,Small molecule,ENSG00000169032,SL-0086,Cytoplasm,Cytoplasm
CHEMBL3545145,WX-554,Small molecule,ENSG00000169032,SL-0162,Membrane,Cytoplasm
CHEMBL3545145,WX-554,Small molecule,ENSG00000126934,SL-0086,Cytoplasm,Cytoplasm
CHEMBL3545145,WX-554,Small molecule,ENSG00000126934,SL-0162,Membrane,Cytoplasm
CHEMBL3545238,CS-8080,Small molecule,ENSG00000131408,SL-0191,Nucleus,Nucleus
CHEMBL3545238,CS-8080,Small molecule,ENSG00000025434,SL-0191,Nucleus,Nucleus
CHEMBL3545238,CS-8080,Small molecule,ENSG00000025434,SL-0086,Cytoplasm,Cytoplasm
CHEMBL3545340,R-343,Small molecule,ENSG00000165025,SL-0086,Cytoplasm,Cytoplasm
CHEMBL3545340,R-343,Small molecule,ENSG00000165025,SL-0039,Cell membrane,Surface
CHEMBL363648,TAK-715,Small molecule,ENSG00000112062,SL-0191,Nucleus,Nucleus
CHEMBL363648,TAK-715,Small molecule,ENSG00000112062,SL-0086,Cytoplasm,Cytoplasm
CHEMBL3707249,ASM-024,Small molecule,ENSG00000175344,SL-0219,Postsynaptic cell membrane,Surface
CHEMBL3707249,ASM-024,Small molecule,ENSG00000117971,SL-0039,Cell membrane,Surface
CHEMBL3707249,ASM-024,Small molecule,ENSG00000117971,SL-0219,Postsynaptic cell membrane,Surface
CHEMBL3707249,ASM-024,Small molecule,ENSG00000080644,SL-0095,Endoplasmic reticulum,Cytoplasm
CHEMBL3707249,ASM-024,Small molecule,ENSG00000080644,SL-0132,Golgi apparatus,Cytoplasm
CHEMBL3707249,ASM-024,Small molecule,ENSG00000080644,SL-0039,Cell membrane,Surface
CHEMBL3707249,ASM-024,Small molecule,ENSG00000080644,SL-0219,Postsynaptic cell membrane,Surface
CHEMBL3707249,ASM-024,Small molecule,ENSG00000181072,SL-0219,Postsynaptic cell membrane,Surface
CHEMBL3707249,ASM-024,Small molecule,ENSG00000181072,SL-0039,Cell membrane,Surface
CHEMBL3707249,ASM-024,Small molecule,ENSG00000133019,SL-0219,Postsynaptic cell membrane,Surface
CHEMBL3707249,ASM-024,Small molecule,ENSG00000133019,SL-0026,Basolateral cell membrane,Surface
CHEMBL3707249,ASM-024,Small molecule,ENSG00000133019,SL-0039,Cell membrane,Surface
CHEMBL3707249,ASM-024,Small molecule,ENSG00000133019,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
