targetId,targetLocation,targetLocationName,targetLocationCluster
ENSG00000020219,SL-0086,Cytoplasm,Cytoplasm
ENSG00000070182,SL-0086,Cytoplasm,Cytoplasm
ENSG00000070366,SL-0191,Nucleus,Nucleus
ENSG00000070366,SL-0468,Chromosome,Nucleus
ENSG00000070366,SL-0086,Cytoplasm,Cytoplasm
ENSG00000072071,SL-0280,Cell projection,Cytoplasm
ENSG00000072071,SL-0258,Synapse,Cytoplasm
ENSG00000072071,SL-0222,Presynaptic cell membrane,Surface
ENSG00000072071,SL-0039,Cell membrane,Surface
ENSG00000073536,SL-0191,Nucleus,Nucleus
ENSG00000075290,SL-0243,Secreted,Secreted
ENSG00000083454,SL-0162,Membrane,Cytoplasm
ENSG00000083782,SL-0243,Secreted,Secreted
ENSG00000086200,SL-0191,Nucleus,Nucleus
ENSG00000086200,SL-0086,Cytoplasm,Cytoplasm
ENSG00000087087,SL-0191,Nucleus,Nucleus
ENSG00000087087,SL-0086,Cytoplasm,Cytoplasm
ENSG00000087502,SL-0132,Golgi apparatus,Cytoplasm
ENSG00000087502,SL-0086,Cytoplasm,Cytoplasm
ENSG00000087502,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
ENSG00000087502,SL-0095,Endoplasmic reticulum,Cytoplasm
ENSG00000087502,SL-0191,Nucleus,Nucleus
ENSG00000092201,SL-0191,Nucleus,Nucleus
ENSG00000092201,SL-0468,Chromosome,Nucleus
ENSG00000100567,SL-0191,Nucleus,Nucleus
ENSG00000100567,SL-0086,Cytoplasm,Cytoplasm
ENSG00000101198,SL-0039,Cell membrane,Surface
ENSG00000102078,SL-0168,Mitochondrion inner membrane,Cytoplasm
ENSG00000103544,SL-0101,Endosome,Cytoplasm
ENSG00000103544,SL-0162,Membrane,Cytoplasm
ENSG00000105707,SL-0015,Apical cell membrane,Surface
ENSG00000105707,SL-0039,Cell membrane,Surface
ENSG00000105993,SL-0086,Cytoplasm,Cytoplasm
ENSG00000106006,SL-0191,Nucleus,Nucleus
ENSG00000106012,SL-0280,Cell projection,Cytoplasm
ENSG00000107807,SL-0191,Nucleus,Nucleus
ENSG00000108826,SL-0173,Mitochondrion,Cytoplasm
ENSG00000115657,SL-0151,Late endosome membrane,Cytoplasm
ENSG00000115657,SL-0100,Endosome membrane,Surface
ENSG00000115657,SL-0160,Melanosome membrane,Cytoplasm
ENSG00000115657,SL-0039,Cell membrane,Surface
ENSG00000115657,SL-0173,Mitochondrion,Cytoplasm
ENSG00000115657,SL-0134,Golgi apparatus membrane,Cytoplasm
ENSG00000115657,SL-0093,Early endosome membrane,Cytoplasm
ENSG00000115657,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
ENSG00000115657,SL-0172,Mitochondrion outer membrane,Cytoplasm
ENSG00000115657,SL-0243,Secreted,Secreted
ENSG00000115657,SL-0101,Endosome,Cytoplasm
ENSG00000115657,SL-0157,Lysosome membrane,Cytoplasm
ENSG00000115705,SL-0310,Cell surface,Surface
ENSG00000115705,SL-0162,Membrane,Cytoplasm
ENSG00000115966,SL-0191,Nucleus,Nucleus
ENSG00000115966,SL-0172,Mitochondrion outer membrane,Cytoplasm
ENSG00000115966,SL-0086,Cytoplasm,Cytoplasm
ENSG00000116525,SL-0086,Cytoplasm,Cytoplasm
ENSG00000118160,SL-0197,Perikaryon,Cytoplasm
ENSG00000118160,SL-0280,Cell projection,Cytoplasm
ENSG00000118160,SL-0026,Basolateral cell membrane,Surface
ENSG00000118160,SL-0039,Cell membrane,Surface
ENSG00000119574,SL-0191,Nucleus,Nucleus
ENSG00000119888,SL-0153,Lateral cell membrane,Surface
ENSG00000119888,SL-0038,Cell junction,Cytoplasm
ENSG00000120341,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
ENSG00000124657,SL-0039,Cell membrane,Surface
ENSG00000130054,SL-0162,Membrane,Cytoplasm
ENSG00000135114,SL-0191,Nucleus,Nucleus
ENSG00000135114,SL-0086,Cytoplasm,Cytoplasm
ENSG00000141933,SL-0280,Cell projection,Cytoplasm
ENSG00000141933,SL-0086,Cytoplasm,Cytoplasm
ENSG00000143198,SL-0172,Mitochondrion outer membrane,Cytoplasm
ENSG00000144648,SL-0232,Recycling endosome,Cytoplasm
ENSG00000144648,SL-0094,Early endosome,Cytoplasm
ENSG00000144648,SL-0039,Cell membrane,Surface
ENSG00000144711,SL-0191,Nucleus,Nucleus
ENSG00000144711,SL-0297,Postsynaptic density,Cytoplasm
ENSG00000144711,SL-0086,Cytoplasm,Cytoplasm
ENSG00000144711,SL-0088,Cytoplasmic vesicle,Cytoplasm
ENSG00000147588,SL-0086,Cytoplasm,Cytoplasm
ENSG00000147912,SL-0086,Cytoplasm,Cytoplasm
ENSG00000148136,SL-0039,Cell membrane,Surface
ENSG00000153885,SL-0191,Nucleus,Nucleus
ENSG00000156411,SL-0171,Mitochondrion membrane,Cytoplasm
ENSG00000158545,SL-0191,Nucleus,Nucleus
ENSG00000162377,SL-0169,Mitochondrion intermembrane space,Cytoplasm
ENSG00000162782,SL-0086,Cytoplasm,Cytoplasm
ENSG00000163406,SL-0088,Cytoplasmic vesicle,Cytoplasm
ENSG00000163406,SL-0015,Apical cell membrane,Surface
ENSG00000166046,SL-0086,Cytoplasm,Cytoplasm
ENSG00000168314,SL-0086,Cytoplasm,Cytoplasm
ENSG00000170190,SL-0039,Cell membrane,Surface
ENSG00000170322,SL-0191,Nucleus,Nucleus
ENSG00000170892,SL-0191,Nucleus,Nucleus
ENSG00000171302,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
ENSG00000171302,SL-0132,Golgi apparatus,Cytoplasm
ENSG00000171302,SL-0039,Cell membrane,Surface
ENSG00000171970,SL-0191,Nucleus,Nucleus
ENSG00000171984,SL-0468,Chromosome,Nucleus
ENSG00000172765,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
ENSG00000172935,SL-0039,Cell membrane,Surface
ENSG00000173926,SL-0093,Early endosome membrane,Cytoplasm
ENSG00000173926,SL-0089,Cytoplasmic vesicle membrane,Cytoplasm
ENSG00000175097,SL-0191,Nucleus,Nucleus
ENSG00000175931,SL-0191,Nucleus,Nucleus
